Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
50,2003,NBA,2,50,PHI,Paccelis Morlende\morlepa01,22.073,G,fr,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,2003,NBA,2,51,NJN,Kyle Korver\korveky01,22.106,G-F,us,Creighton,2004,2020,1182,25.7,9.8,3,1.7,0.7,0.3,0.443,0.463,0.43,0.877,71.2,17,0
52,2003,NBA,2,52,TOR,Remon Van de Hare,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,2003,NBA,2,53,CHI,Tommy Smith,0,NA,NA,Arizona State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,2003,NBA,2,54,POR,Nedžad Sinanović\sinanne01,20.153,C,ba,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,2003,NBA,2,55,MIN,Rick Rickert,0,NA,NA,Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,2003,NBA,2,56,BOS,Brandon Hunter\huntebr01,22.219,F,us,Ohio University,2004,2005,67,9.4,3.3,2.8,0.3,0.3,0.1,0.476,0.484,0,0.488,0.7,2,1
57,2003,NBA,2,57,DAL,Xue Yuyang\yuyanxu01,20.239,F-C,cn,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2003,NBA,2,58,DET,Andreas Glyniadakis\glynian01,21.314,C,gr,NA,2007,2007,13,6.2,1.3,0.6,0.1,0,0,0.471,0.471,0,0.5,-0.2,1,1
1,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,Oklahoma,2011,2020,605,35,21.8,9,4.5,0.9,0.5,0.502,0.522,0.342,0.693,75.4,10,1
2,2009,NBA,1,2,MEM,Hasheem Thabeet\thabeha01,22.135,C,tz,UConn,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,0,0.578,4.8,5,1
3,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2020,775,34.1,24.5,5.2,6.2,1.6,0.5,0.442,0.507,0.363,0.858,123.6,11,0
4,2009,NBA,1,4,SAC,Tyreke Evans\evansty01,19.284,G-F,us,Memphis,2010,2019,594,30.7,15.7,4.6,4.8,1.2,0.4,0.44,0.468,0.323,0.757,28.4,10,1
5,2009,NBA,1,5,MIN,Ricky Rubio\rubiori01,18.252,G,es,NA,2012,2020,507,30.9,11.2,4.2,7.7,1.9,0.1,0.389,0.414,0.324,0.839,33.4,9,1
6,2009,NBA,1,6,MIN,Jonny Flynn\flynnjo01,20.144,G,us,Syracuse,2010,2012,163,22.9,9.2,1.9,3.9,0.7,0,0.4,0.42,0.338,0.809,-1.1,3,1
7,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson,2010,2020,698,34.3,23.5,4.5,6.6,1.7,0.2,0.476,0.515,0.435,0.905,103.1,11,0
8,2009,NBA,1,8,NYK,Jordan Hill\hilljo01,21.339,C-F,us,Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,8,1
9,2009,NBA,1,9,TOR,DeMar DeRozan\derozde01,19.327,G-F,us,USC,2010,2020,762,34.1,19.8,4.3,3.4,1,0.3,0.452,0.47,0.282,0.827,60.8,11,0
10,2009,NBA,1,10,MIL,Brandon Jennings\jennibr01,19.28,G,us,NA,2010,2018,555,30.3,14.1,3,5.7,1.2,0.2,0.387,0.412,0.345,0.796,29.9,9,1
11,2009,NBA,1,11,NJN,Terrence Williams\willite01,22.003,F,us,Louisville,2010,2013,153,19.1,7.1,3.6,2.4,0.5,0.1,0.412,0.432,0.317,0.659,-0.2,4,1
12,2009,NBA,1,12,CHA,Gerald Henderson\hendege02,21.204,G,us,Duke,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,8,1
13,2009,NBA,1,13,IND,Tyler Hansbrough\hansbty01,23.24,F,us,UNC,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,7,1
14,2009,NBA,1,14,PHO,Earl Clark\clarkea01,21.165,F,us,Louisville,2010,2015,261,13.9,4.4,3,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,6,1
15,2009,NBA,1,15,DET,Austin Daye\dayeau01,21.025,F,us,Gonzaga,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,6,1
16,2009,NBA,1,16,CHI,James Johnson\johnsja01,22.131,F,us,Wake Forest,2010,2020,606,20.7,7.9,3.6,2.1,0.8,0.9,0.477,0.532,0.304,0.694,23.6,11,0
17,2009,NBA,1,17,PHI,Jrue Holiday\holidjr01,19.018,G,us,UCLA,2010,2020,660,33.1,15.6,3.9,6.4,1.5,0.5,0.451,0.486,0.352,0.784,39.1,11,0
18,2009,NBA,1,18,MIN,Ty Lawson\lawsoty01,21.24,G,us,UNC,2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,8,1
19,2009,NBA,1,19,ATL,Jeff Teague\teaguje01,21.02,G,us,Wake Forest,2010,2020,718,27.7,12.7,2.5,5.8,1.2,0.3,0.446,0.475,0.355,0.842,48.9,11,0
20,2009,NBA,1,20,UTA,Eric Maynor\maynoer01,22.02,G,us,Virginia Commonwealth,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,5,1
21,2009,NBA,1,21,NOH,Darren Collison\collida01,21.312,G,us,UCLA,2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,10,1
22,2009,NBA,1,22,POR,Victor Claver\clavevi01,20.304,F,es,NA,2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,3,1
23,2009,NBA,1,23,SAC,Omri Casspi\casspom01,21.008,F,il,NA,2010,2019,588,20.3,7.9,4,1.1,0.6,0.2,0.454,0.502,0.368,0.678,19.6,10,1
24,2009,NBA,1,24,DAL,Byron Mullens\mulleby01,20.136,C,us,Ohio State,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,5,1
